rad_scale,transport_scale,storage_scale,mode,manageable_failure,manageable_CVaR95,manageable_unsafe,manageable_Y,manageable_Tc95,frontier_failure,frontier_CVaR95,frontier_unsafe,frontier_Y,frontier_Tc95,harsh_failure,harsh_CVaR95,harsh_unsafe,harsh_Y,harsh_Tc95
1.0,1.5,2.0,no_control,1.0,2325.2448471837383,0.9730208333333333,1.0000000000000162,11.012757687827472,1.0,2988.0315828939397,0.9745833333333334,1.0000000000000162,12.258197456187158,1.0,5277.045223792679,0.9776041666666666,1.0000000000000162,15.724401764676102
1.0,1.5,2.0,pump_only,1.0,531.0296123554382,0.9653422619047619,1.0000000000000162,5.380647993572748,1.0,707.9676937322881,0.9689583333333334,1.0000000000000162,6.43209034473621,1.0,1216.0017755791764,0.9737500000000001,1.0000000000000162,8.099203384044658
1.0,1.5,2.0,pump_radiator,1.0,350.50420219168575,0.9658035714285714,1.0000000000000162,4.666731311865635,1.0,664.2621644628614,0.9708333333333333,1.0000000000000162,6.280843196186055,1.0,868.3496971939903,0.9722916666666667,1.0000000000000162,7.228542753238549
1.0,1.5,2.0,radiator_only,1.0,1668.4159189071495,0.972514880952381,1.0000000000000162,9.402062936761842,1.0,2291.418076438573,0.9744791666666667,1.0000000000000162,10.784524148201369,1.0,3662.261245562318,0.9776041666666666,1.0000000000000162,13.416568412143247
1.0,2.0,1.0,a10_hybrid,1.0,58.96908812751496,0.9544345238095239,0.7059912720319359,2.808032138613579,1.0,162.84351505847926,0.9653125,0.6621471573007385,4.261033377186202,1.0,226.82576275775475,0.9663541666666666,0.626260732493142,4.796854428555461
1.0,2.0,1.0,load_throttle,1.0,474.69596225416956,0.9686458333333334,0.561086881772491,5.65035345327337,1.0,654.9722242076334,0.9714583333333333,0.5601610860245485,6.555488736363413,1.0,1067.807007159921,0.9746874999999999,0.5590616285737036,8.260885103861268
1.0,2.0,1.0,no_control,1.0,1431.4266701638905,0.9717559523809525,1.0000000000000162,8.859386339160809,1.0,2157.3136798630435,0.9736458333333333,1.0000000000000162,10.609251457065014,1.0,2853.8811630803175,0.975625,1.0000000000000162,12.182497352389044
1.0,2.0,1.0,pump_only,1.0,349.3177289411964,0.9618005952380952,1.0000000000000162,4.548585404749981,1.0,493.5880216580187,0.9654166666666667,1.0000000000000162,5.643382914574131,1.0,725.4711327681597,0.969375,1.0000000000000162,6.797237635867576
1.0,2.0,1.0,pump_radiator,1.0,234.6464417938183,0.9614583333333334,1.0000000000000162,3.9799927446744086,1.0,409.8912953691789,0.96625,1.0000000000000162,5.334899023101641,1.0,603.9208106454316,0.97125,1.0000000000000162,6.448212923054587
1.0,2.0,1.0,radiator_only,1.0,1032.3119286798249,0.9714434523809523,1.0000000000000162,7.636749049631722,1.0,1793.4252595432545,0.9740624999999999,1.0000000000000162,9.91294901222089,1.0,2232.79166950724,0.9759375,1.0000000000000162,11.02999600205784
1.0,2.0,2.0,a10_hybrid,1.0,47.34649087678902,0.953422619047619,0.65198564198725,2.60121983449203,1.0,88.40345865394713,0.963125,0.5997562657089588,3.470097524257099,1.0,142.35022665172653,0.9660416666666667,0.5710806123219366,4.001323619002183
1.0,2.0,2.0,load_throttle,1.0,440.6159542142901,0.9688244047619046,0.5610236478390395,5.5519931785260885,1.0,753.5724310648288,0.9707291666666666,0.5604371147293217,6.891405182742424,1.0,1203.020832571105,0.9751041666666667,0.5589288157376984,8.555229561921283
1.0,2.0,2.0,no_control,1.0,1463.2410013825481,0.9720386904761904,1.0000000000000162,8.985135018654839,1.0,2281.0830031759265,0.974375,1.0000000000000162,10.535405338394675,1.0,3172.5320367632257,0.9770833333333334,1.0000000000000162,12.900359402629592
1.0,2.0,2.0,pump_only,1.0,350.47858421034874,0.9618154761904761,1.0000000000000162,4.558521916803217,1.0,519.6562164782903,0.9664583333333333,1.0000000000000162,5.77660163664457,1.0,763.6320135731048,0.9713541666666666,1.0000000000000162,6.835355356317171
1.0,2.0,2.0,pump_radiator,1.0,231.72142020720955,0.9621577380952381,1.0000000000000162,3.965952070574072,1.0,336.85028647055657,0.9667708333333334,1.0000000000000162,5.041126964133836,1.0,629.1083219216515,0.9698958333333334,1.0000000000000162,6.548634374891802
1.0,2.0,2.0,radiator_only,1.0,1037.560804620702,0.9713244047619047,1.0000000000000162,7.601548149289982,1.0,1824.7379671551648,0.9744791666666668,1.0000000000000162,9.795602866864927,1.0,2526.587121212494,0.9777083333333334,1.0000000000000162,11.71494505700017
1.0,3.0,1.0,a10_hybrid,1.0,31.481851452282168,0.9425892857142857,0.7469667027894185,2.2320408923200636,1.0,71.64336394073491,0.9566666666666666,0.6906321398376211,3.260306943674519,1.0,125.15875738985802,0.9597916666666666,0.6482732830440558,3.941100283991092
1.0,3.0,1.0,load_throttle,1.0,222.75443365163008,0.9659523809523808,0.561769101206814,4.282087527135961,1.0,419.7849624337314,0.9707291666666666,0.5602543458739704,5.669750139852837,1.0,667.6653020877818,0.9729166666666667,0.5595544138849364,7.003281622332928
1.0,3.0,1.0,no_control,1.0,921.12456410301,0.971547619047619,1.0000000000000162,7.202498864471491,1.0,1356.1549041261844,0.97375,1.0000000000000162,8.754867754469755,1.0,2263.795113639543,0.9767708333333334,1.0000000000000162,11.484804319358195
1.0,3.0,1.0,pump_only,1.0,189.33737249682756,0.9565625000000002,1.0000000000000162,3.629027588541732,1.0,407.65540480173155,0.9621875000000001,1.0000000000000162,5.16632257848326,1.0,458.40812862891806,0.9657291666666667,1.0000000000000162,5.660212766304299
