rad_scale,transport_scale,storage_scale,best_a10_mode,regime,best_manage_failure,best_manage_CVaR95,best_manage_unsafe,best_manage_Y,best_manage_Tc95,best_frontier_failure,best_frontier_CVaR95,best_frontier_unsafe,best_frontier_Y,best_harsh_failure,best_harsh_CVaR95,best_harsh_unsafe,best_harsh_Y,a10v1_manage_failure,a10v1_manage_CVaR95,a10v1_manage_Y,a10v2_manage_failure,a10v2_manage_CVaR95,a10v2_manage_Y,no_control_manage_failure,no_control_manage_CVaR95,pump_radiator_manage_failure,pump_radiator_manage_CVaR95,pump_radiator_manage_unsafe,pump_radiator_manage_Y,regime_order,resource_score
8.0,4.0,2.0,a10_hybrid_v2,DAMAGE-LIMITING-NOT-MISSION-FEASIBLE,1.0,2.0460718352234917,0.9068154761904762,0.8562509125535434,1.4247838041013376,1.0,8.32227501391067,0.9460416666666667,0.830115449441144,1.0,22.78360794655239,0.9539583333333334,0.7986206530951931,1.0,2.6453667134360352,0.732259661597514,1.0,2.0460718352234917,0.8562509125535434,1.0,361.41968180215474,1.0,29.98537150264638,0.9489285714285715,1.0000000000000162,4,13.0
1.0,12.0,1.0,a10_hybrid,DAMAGE-LIMITING-NOT-MISSION-FEASIBLE,1.0,7.992473109868,0.9173809523809523,0.7738507878666828,1.4642536570419673,1.0,15.992446943541372,0.9247916666666667,0.7581875434811575,1.0,38.502877363934296,0.9420833333333334,0.7115097589018688,1.0,7.992473109868,0.7738507878666828,1.0,8.539273937306545,0.8721781074277859,1.0,88.78130317364734,1.0,20.502438068850125,0.9333928571428574,1.0000000000000162,4,13.5
4.0,8.0,4.0,a10_hybrid_v2,DAMAGE-LIMITING-NOT-MISSION-FEASIBLE,0.8571428571428571,0.31873212920917304,0.44958333333333333,0.8170152974919305,1.1582157603642984,1.0,1.894697287662055,0.8887499999999999,0.7887456615044472,1.0,6.0731083149703435,0.9189583333333333,0.7670589820022462,1.0,0.25543031860087884,0.6702543921360579,0.8571428571428571,0.31873212920917304,0.8170152974919305,1.0,102.04003477729371,1.0,8.538152631759443,0.9331547619047619,1.0000000000000162,4,14.0
8.0,4.0,4.0,a10_hybrid,DAMAGE-LIMITING-NOT-MISSION-FEASIBLE,1.0,1.1900753265185042,0.7080654761904762,0.6638867825440526,1.3327726962788713,1.0,3.172955200334215,0.916875,0.6312155669776849,1.0,9.470051947015442,0.9420833333333333,0.5976330402042156,1.0,1.1900753265185042,0.6638867825440526,1.0,1.6478717016384992,0.8067345913434992,1.0,410.88721830085905,1.0,29.30256647021198,0.950029761904762,1.0000000000000162,4,14.0
1.0,12.0,2.0,a10_hybrid,DAMAGE-LIMITING-NOT-MISSION-FEASIBLE,1.0,5.396125008909394,0.9087500000000001,0.7050320005035277,1.4086567343134708,1.0,10.646161629740723,0.9235416666666667,0.6797394326805272,1.0,20.580809355831168,0.931875,0.648415136073079,1.0,5.396125008909394,0.7050320005035277,1.0,6.130888901150884,0.8416631643060183,1.0,73.51810768643966,1.0,20.181024020397064,0.9311011904761904,1.0000000000000162,4,14.0
8.0,6.0,1.0,a10_hybrid_v2,DAMAGE-LIMITING-NOT-MISSION-FEASIBLE,0.7142857142857143,0.45181599009569,0.4573809523809524,0.8774995459573838,1.1903426605400114,1.0,4.937275853866117,0.91625,0.8750461454450672,1.0,5.536791246786372,0.9366666666666666,0.8694489385744157,0.9642857142857143,0.9345180597432187,0.7852905491206865,0.7142857142857143,0.45181599009569,0.8774995459573838,1.0,184.64876155176802,1.0,9.417581694556736,0.9383630952380952,1.0000000000000162,4,14.5
2.0,12.0,1.0,a10_hybrid,DAMAGE-LIMITING-NOT-MISSION-FEASIBLE,1.0,1.8998439856007374,0.8435416666666666,0.7840122135226368,1.2703436775767893,1.0,7.503563424432224,0.9235416666666667,0.7710419496018257,1.0,12.45814095967618,0.938125,0.7366313141826596,1.0,1.8998439856007374,0.7840122135226368,1.0,1.900596166962954,0.874397652304937,1.0,57.42066495097719,1.0,7.724909063562487,0.9283333333333333,1.0000000000000162,4,14.5
12.0,2.0,1.0,a10_hybrid_v2,DAMAGE-LIMITING-NOT-MISSION-FEASIBLE,1.0,21.56330823375333,0.9517857142857143,0.8387275679362338,2.14895936000988,1.0,43.380126404764475,0.9585416666666666,0.8295448154571062,1.0,103.38081174497054,0.9660416666666667,0.8071692628856334,1.0,36.39358591255807,0.7143094598359557,1.0,21.56330823375333,0.8387275679362338,1.0,1201.9753677272806,1.0,138.32667281335372,0.9627380952380953,1.0000000000000162,4,14.5
8.0,6.0,2.0,a10_hybrid_v2,DAMAGE-LIMITING-NOT-MISSION-FEASIBLE,0.7142857142857143,0.41053527595144396,0.3430952380952381,0.873012996188438,1.179030299419299,1.0,1.4093004227927541,0.7775,0.8556688681476714,1.0,5.918954633932174,0.9325,0.8234263241286416,1.0,0.5110724334201502,0.7526025756602558,0.7142857142857143,0.41053527595144396,0.873012996188438,1.0,148.65449701299082,1.0,9.821711050297507,0.9385119047619046,1.0000000000000162,4,15.0
2.0,12.0,2.0,a10_hybrid,DAMAGE-LIMITING-NOT-MISSION-FEASIBLE,1.0,1.2046370534172886,0.8320833333333333,0.7297003563130475,1.227955181215903,1.0,4.399756686140611,0.915,0.6982799496344693,1.0,16.064232123774776,0.9314583333333334,0.6603398975362609,1.0,1.2046370534172886,0.7297003563130475,1.0,1.6402895585313997,0.8538347587541022,1.0,60.09925025816824,1.0,8.345400356660974,0.9291369047619046,1.0000000000000162,4,15.0
