stress,mode,fail_Tc_mean,fail_Tp_mean,fail_Tr_mean,fail_Es_mean,fail_Pm_mean,fail_G_mean,fail_Y_mean,failure_mean,V_mean,V_median,unsafe_fraction_mean,Y_final_mean,max_Tc_mean,max_Tc_median,max_Tc_max,min_Es_mean,min_Es_min,min_Pm_mean,min_Pm_min
nominal,pump_radiator,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,449.9820879791175,429.28284741838746,0.970138888888889,1.0000000000000162,5.043367646859657,4.976032031235874,6.138352869824485,0.86,0.86,0.84,0.84
nominal,radiator_only,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1679.2433168122525,1637.5722956576155,0.9725,1.0000000000000162,9.972681554714118,9.943243740038145,11.705575503133987,0.86,0.86,0.84,0.84
power_shortage,a10_hybrid,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,154.8116143526524,149.77421613881558,0.9690104166666668,0.6680471148115129,3.6020440385205106,3.5791976106526553,4.138765983798678,0.2727961230979011,0.2494575348842728,0.8197202080698106,0.7330834718144025
power_shortage,load_throttle,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,806.2894581849079,807.662009546573,0.9719618055555556,0.5601188174312599,7.4517623846611345,7.495397936676808,9.42012946318604,0.86,0.86,0.84,0.84
power_shortage,no_control,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,2487.8550564247153,2470.7064217388665,0.9747395833333333,1.0000000000000162,12.207941465581472,12.158685071296919,13.913267513461207,0.86,0.86,0.84,0.84
power_shortage,pump_only,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,666.9305084613204,670.4858887632668,0.9724305555555556,1.0000000000000162,5.964855262822937,5.970628098473387,7.133484468816928,0.86,0.86,0.8080696029032595,0.7023042247968972
power_shortage,pump_radiator,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,508.5499583024459,513.2421662901043,0.9724131944444444,1.0000000000000162,5.275981689859775,5.315442909183006,6.074760514837967,0.86,0.86,0.6983657052671046,0.5963812840257227
power_shortage,radiator_only,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1974.8979091081121,1962.8145429691813,0.9745486111111111,1.0000000000000162,10.690432934576108,10.723804366731105,12.00285048050992,0.86,0.86,0.8396023736293552,0.8209492716071305
radiator_degradation,a10_hybrid,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,140.74579737755528,141.37915086513885,0.9661805555555555,0.671809002483695,3.5299583684310942,3.5483397097605494,4.052333545571583,0.2726841290911263,0.2476609464997975,0.84,0.84
radiator_degradation,load_throttle,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,717.4092150601322,708.6461726759039,0.9702083333333333,0.5607444174379345,7.2150240084355595,7.1648286178319545,8.502606519672868,0.86,0.86,0.84,0.84
radiator_degradation,no_control,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,2160.402074931932,2049.8372016438425,0.9727604166666667,1.0000000000000162,11.590983284141997,11.298599460472607,13.903855437127708,0.86,0.86,0.84,0.84
radiator_degradation,pump_only,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,594.3431479246343,602.1242548288443,0.9694270833333333,1.0000000000000162,5.777078631750974,5.839238255826322,6.395757229041907,0.86,0.86,0.84,0.84
radiator_degradation,pump_radiator,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,458.2484692393602,448.84057142597374,0.9692881944444444,1.0000000000000162,5.113886719949046,5.100401663180448,6.100768376878116,0.86,0.86,0.84,0.84
radiator_degradation,radiator_only,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1759.897496496765,1680.0703658897955,0.9729166666666668,1.0000000000000162,10.239085378660501,10.113346359410325,12.362251560954856,0.86,0.86,0.84,0.84
solar_heating,a10_hybrid,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,150.24397965913982,153.64147215818025,0.9680902777777778,0.6700473548066816,3.55312044478945,3.587865134983919,3.9969709978570047,0.268202596116701,0.2499260482093729,0.84,0.84
solar_heating,load_throttle,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,700.6428370655705,684.4027694896259,0.9698784722222222,0.5608388037295279,7.057462058135138,7.015032637806511,8.622260418570994,0.86,0.86,0.84,0.84
solar_heating,no_control,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,2206.887291316523,2127.4712186060606,0.9730555555555555,1.0000000000000162,11.605030500599462,11.446955930161998,15.545402390753582,0.86,0.86,0.84,0.84
solar_heating,pump_only,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,605.8820315270139,580.2112555147737,0.9700868055555555,1.0000000000000162,5.752286085069074,5.666564422530753,6.819756952381902,0.86,0.86,0.84,0.84
solar_heating,pump_radiator,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,458.5890533617762,430.4619497740001,0.9696875,1.0000000000000162,5.071899584259771,4.9729806787005195,6.268550162642672,0.86,0.86,0.84,0.84
solar_heating,radiator_only,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1779.486603950072,1738.7118128181291,0.9728645833333333,1.0000000000000162,10.248872228967407,10.20106839242073,12.288116257152774,0.86,0.86,0.84,0.84
storage_saturation,a10_hybrid,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,215.06256926732374,212.41089198309191,0.9669097222222223,0.5986083810133964,4.692591271124619,4.700871612781588,5.565045609108264,0.2025824595241895,0.1937861520982374,0.84,0.84
storage_saturation,load_throttle,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1058.8378940888763,1029.4058372089366,0.9701215277777777,0.560766201667838,7.852841658906704,7.806039718408509,9.863790311855746,0.46,0.46,0.84,0.84
storage_saturation,no_control,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,3274.3235962946014,3202.2263696089212,0.9734027777777778,1.0000000000000162,13.06083694045187,12.989626832828147,15.295565237327576,0.46,0.46,0.84,0.84
storage_saturation,pump_only,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,811.6758100658104,785.6775042646918,0.9684548611111111,1.0000000000000162,6.77773170586335,6.742543431441499,8.152102517288546,0.46,0.46,0.84,0.84
storage_saturation,pump_radiator,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,662.9661541478536,638.3768971552151,0.9694618055555555,1.0000000000000162,6.478004273328086,6.344547808114395,7.555999885868939,0.46,0.46,0.84,0.84
storage_saturation,radiator_only,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,2707.699861564733,2702.4379462846073,0.9734375000000001,1.0000000000000162,11.53662029350618,11.58442428605369,14.133722861217082,0.46,0.46,0.84,0.84
