rad_scale,transport_scale,storage_scale,mode,stress,n,failure_rate,throughput_failure_rate,mean_V,median_V,CVaR90_V,CVaR95_V,mean_unsafe_fraction,mean_Y_final,max_Tc_p95,min_Es_p05,min_Pm_p05
6.0,2.0,2.0,pump_only,radiator_degradation,8,1.0,0.0,155.66551820190844,147.23292596003097,205.12402832061522,205.12402832061522,0.9603125,1.0000000000000162,3.505936474559319,0.86,0.84
6.0,2.0,2.0,pump_only,solar_heating,8,1.0,0.0,174.18776821187706,185.94026458598165,206.55881397251122,206.55881397251122,0.9641666666666666,1.0000000000000162,3.5202703948371314,0.86,0.84
6.0,2.0,2.0,pump_only,storage_saturation,8,1.0,0.0,228.28215318062576,227.91302036188162,315.8995064274871,315.8995064274871,0.9612499999999999,1.0000000000000162,5.027068908121796,0.46,0.84
6.0,2.0,2.0,pump_radiator,burst_heat,8,1.0,0.0,197.1118220389354,216.4225499851128,244.11806881978288,244.11806881978288,0.9625,1.0000000000000162,4.996858453014085,0.86,0.84
6.0,2.0,2.0,pump_radiator,combined_harsh,8,1.0,0.0,342.83292741891216,326.53718511305357,432.8568024756727,432.8568024756727,0.9708333333333334,1.0000000000000162,5.7519340152863005,0.62,0.48398688231637677
6.0,2.0,2.0,pump_radiator,combined_moderate,8,1.0,0.0,202.00253874684702,193.52272531217653,275.31866535713584,275.31866535713584,0.9662499999999999,1.0000000000000162,4.687568196124464,0.72,0.6737241222233018
6.0,2.0,2.0,pump_radiator,eclipse_transition,8,1.0,0.0,83.84497388788122,79.03237634278997,130.81602466470866,130.81602466470866,0.9605208333333333,1.0000000000000162,2.9621715508176165,0.86,0.8198383122849688
6.0,2.0,2.0,pump_radiator,nominal,8,1.0,0.0,84.66721417328202,89.02851877867656,116.18235590641036,116.18235590641036,0.9613541666666667,1.0000000000000162,2.871058327942053,0.86,0.84
6.0,2.0,2.0,pump_radiator,power_shortage,8,1.0,0.0,106.24812289166783,109.04897907144432,133.3950857928475,133.3950857928475,0.964375,1.0000000000000162,3.020728909016001,0.86,0.6075028484924303
6.0,2.0,2.0,pump_radiator,radiator_degradation,8,1.0,0.0,107.86623550145924,95.00241189485187,219.14119333721968,219.14119333721968,0.9624999999999999,1.0000000000000162,3.324397548476429,0.86,0.84
6.0,2.0,2.0,pump_radiator,solar_heating,8,1.0,0.0,85.60490667148699,83.28131976432996,115.79819686405726,115.79819686405726,0.9616666666666667,1.0000000000000162,2.832006347910586,0.86,0.84
6.0,2.0,2.0,pump_radiator,storage_saturation,8,1.0,0.0,158.94481878453792,160.83360951807964,204.04730443158752,204.04730443158752,0.963125,1.0000000000000162,4.497627189893134,0.46,0.84
6.0,2.0,2.0,radiator_only,burst_heat,8,1.0,0.0,1087.773835425629,1169.8811158887775,1311.6760785810282,1311.6760785810282,0.9695833333333332,1.0000000000000162,9.224542531672826,0.86,0.84
6.0,2.0,2.0,radiator_only,combined_harsh,8,1.0,0.0,1528.2974957001531,1531.2477751912224,2117.96107361387,2117.96107361387,0.9746874999999999,1.0000000000000162,10.57570508242317,0.62,0.65
6.0,2.0,2.0,radiator_only,combined_moderate,8,1.0,0.0,1238.8033684751383,1251.4240058866326,1377.4571862512012,1377.4571862512012,0.9744791666666667,1.0000000000000162,8.801825148965738,0.72,0.72
6.0,2.0,2.0,radiator_only,eclipse_transition,8,1.0,0.0,596.1806522624127,562.4355486850613,1018.6411901239904,1018.6411901239904,0.970625,1.0000000000000162,6.720347095468099,0.86,0.84
6.0,2.0,2.0,radiator_only,nominal,8,1.0,0.0,575.9584850516362,552.8271096036997,675.475005485648,675.475005485648,0.9708333333333333,1.0000000000000162,6.025413353371915,0.86,0.84
6.0,2.0,2.0,radiator_only,power_shortage,8,1.0,0.0,678.9653292718461,678.7838514255416,980.7950839093809,980.7950839093809,0.9729166666666667,1.0000000000000162,6.880291520472924,0.86,0.8259231969641954
6.0,2.0,2.0,radiator_only,radiator_degradation,8,1.0,0.0,647.8537005872724,650.0994670870188,940.7637598070087,940.7637598070087,0.9717708333333333,1.0000000000000162,6.770153985859048,0.86,0.84
6.0,2.0,2.0,radiator_only,solar_heating,8,1.0,0.0,641.5665237379001,642.3860214617355,845.9779260390774,845.9779260390774,0.9710416666666667,1.0000000000000162,6.564677504870149,0.86,0.84
6.0,2.0,2.0,radiator_only,storage_saturation,8,1.0,0.0,1006.3747892475362,902.1098230108621,1411.620896178487,1411.620896178487,0.9719791666666666,1.0000000000000162,9.178942900440225,0.46,0.84
6.0,3.0,1.0,a10_hybrid,burst_heat,8,1.0,1.0,17.541060517423332,15.72772098743138,26.829152411135926,26.829152411135926,0.9386458333333334,0.7461098102965786,2.860854724956859,0.3115871521704164,0.84
6.0,3.0,1.0,a10_hybrid,combined_harsh,8,1.0,1.0,44.74757466593488,41.36792490927819,74.44448767774209,74.44448767774209,0.9565625,0.6793200534649324,3.475641068345253,0.24547209627874303,0.5622765639425907
6.0,3.0,1.0,a10_hybrid,combined_moderate,8,1.0,1.0,19.43341611790423,16.040789147041203,35.58338343754671,35.58338343754671,0.9464583333333334,0.729966992034013,2.8631245319504064,0.2724457215070388,0.7152114155414016
6.0,3.0,1.0,a10_hybrid,eclipse_transition,8,1.0,1.0,3.1029116661463494,2.7941177554893404,5.137775335648279,5.137775335648279,0.9411458333333333,0.7853490435126826,1.4735830339303864,0.3009466555479656,0.84
6.0,3.0,1.0,a10_hybrid,nominal,8,1.0,1.0,3.2788456299867677,3.187168574007108,4.767967276743154,4.767967276743154,0.9416666666666667,0.7852471219392099,1.4764866516217308,0.3004610864379231,0.84
6.0,3.0,1.0,a10_hybrid,power_shortage,8,1.0,1.0,3.7403169251376633,3.6671654109358114,6.721199503351201,6.721199503351201,0.9440625,0.784413849011943,1.5254536733406223,0.29236837226292406,0.5962164901943662
6.0,3.0,1.0,a10_hybrid,radiator_degradation,8,1.0,1.0,5.184394547754469,4.754557717545766,7.57594556139096,7.57594556139096,0.9414583333333333,0.7825456637330992,1.5743251479631009,0.2851267591205283,0.84
6.0,3.0,1.0,a10_hybrid,solar_heating,8,1.0,1.0,3.7934639302648794,3.710662766958949,5.494517653277637,5.494517653277637,0.9444791666666666,0.7843728727009548,1.4797031637278282,0.2923773673593077,0.84
