stress,mode,n,finite_rate,failure_rate,mean_V,CVaR90_V,CVaR95_V,mean_unsafe_fraction,max_Tc_p95,min_Es_p05,min_Pm_p05,mean_Y_final
nominal,no_control,48,1.0,1.0,2257.240973197719,2942.578342679116,3104.4582069583316,0.9735069444444444,13.061956793459895,0.86,0.84,1.0000000000000162
power_shortage,a10_hybrid,48,1.0,1.0,154.8116143526524,217.44274263255267,224.72968255460765,0.9690104166666668,3.9742503214101657,0.2528956092503143,0.768179071867006,0.6680471148115131
power_shortage,pump_radiator,48,1.0,1.0,508.5499583024459,653.7733633072448,681.484576074065,0.9724131944444444,5.721355834640207,0.86,0.6117808616013103,1.0000000000000162
power_shortage,pump_only,48,1.0,1.0,666.9305084613203,888.8002974454663,930.8260011352457,0.9724305555555556,6.6196075762138245,0.86,0.7518789847471822,1.0000000000000162
power_shortage,load_throttle,48,1.0,1.0,806.2894581849079,1136.222763698574,1215.0706387726684,0.9719618055555556,8.471302541116561,0.86,0.84,0.5601188174312599
power_shortage,radiator_only,48,1.0,1.0,1974.8979091081121,2450.8001346571464,2496.5634061057326,0.9745486111111111,11.650859535415611,0.86,0.84,1.0000000000000162
power_shortage,no_control,48,1.0,1.0,2487.855056424715,3192.4038705304656,3293.0567387669394,0.9747395833333332,13.562483922275272,0.86,0.84,1.0000000000000162
radiator_degradation,a10_hybrid,48,1.0,1.0,140.74579737755528,197.29240335574227,209.42690991793788,0.9661805555555555,3.8734391320053603,0.2547917584535811,0.84,0.671809002483695
radiator_degradation,pump_radiator,48,1.0,1.0,458.2484692393602,649.6050525903421,673.1975490648725,0.9692881944444444,5.858347769197392,0.86,0.84,1.0000000000000162
radiator_degradation,pump_only,48,1.0,1.0,594.3431479246343,748.1173220601283,763.6483209963095,0.9694270833333333,6.295271310408923,0.86,0.84,1.0000000000000162
radiator_degradation,load_throttle,48,1.0,1.0,717.4092150601322,978.546459630307,1008.173731838065,0.9702083333333333,8.148658728854318,0.86,0.84,0.5607444174379345
radiator_degradation,radiator_only,48,1.0,1.0,1759.897496496765,2432.8012869398985,2537.649557796756,0.9729166666666668,11.77192467345429,0.86,0.84,1.0000000000000162
radiator_degradation,no_control,48,1.0,1.0,2160.4020749319316,2992.872674875523,3043.612696616256,0.9727604166666666,13.23478568707496,0.86,0.84,1.0000000000000162
solar_heating,a10_hybrid,48,1.0,1.0,150.24397965913982,199.42044379858413,209.2944086571844,0.9680902777777778,3.859246162336087,0.2552879660741339,0.84,0.6700473548066815
solar_heating,pump_radiator,48,1.0,1.0,458.5890533617762,705.8996832378859,753.683917080336,0.9696875,5.886677572025509,0.86,0.84,1.0000000000000162
solar_heating,pump_only,48,1.0,1.0,605.882031527014,842.661463127215,874.8829671186022,0.9700868055555555,6.534836039220642,0.86,0.84,1.0000000000000162
solar_heating,load_throttle,48,1.0,1.0,700.6428370655705,998.8804133912374,1034.2342464516905,0.9698784722222222,8.093581733774062,0.86,0.84,0.5608388037295279
solar_heating,radiator_only,48,1.0,1.0,1779.486603950072,2455.604241263234,2573.747028407895,0.9728645833333335,11.829312368460823,0.86,0.84,1.0000000000000162
solar_heating,no_control,48,1.0,1.0,2206.887291316523,3185.212059182149,3434.0293301627753,0.9730555555555555,13.22343588837956,0.86,0.84,1.0000000000000162
storage_saturation,a10_hybrid,48,1.0,1.0,215.06256926732377,296.9070843667534,310.19577613076274,0.9669097222222222,5.15267697143627,0.1950615828840552,0.84,0.5986083810133964
storage_saturation,pump_radiator,48,1.0,1.0,662.9661541478536,927.8875580763248,960.6614452021914,0.9694618055555555,7.371811359110016,0.46,0.84,1.0000000000000162
storage_saturation,pump_only,48,1.0,1.0,811.6758100658104,1129.246346601975,1174.3226550199163,0.9684548611111111,7.619400736366175,0.46,0.84,1.0000000000000162
storage_saturation,load_throttle,48,1.0,1.0,1058.8378940888763,1501.9129404139653,1598.0802150966217,0.9701215277777777,8.954258012473526,0.46,0.84,0.560766201667838
storage_saturation,radiator_only,48,1.0,1.0,2707.699861564733,3735.412716466132,3907.670776414959,0.9734375000000002,13.152586164443791,0.46,0.84,1.0000000000000162
storage_saturation,no_control,48,1.0,1.0,3274.3235962946005,4296.1084409564755,4405.7481988606305,0.9734027777777777,14.71862449848959,0.46,0.84,1.0000000000000162
