rad_scale,transport_scale,storage_scale,mode,manageable_failure,manageable_throughput_failure,manageable_CVaR95,manageable_unsafe,manageable_Y,manageable_Tc95,frontier_failure,frontier_CVaR95,frontier_unsafe,frontier_Y,frontier_Tc95,harsh_failure,harsh_CVaR95,harsh_unsafe,harsh_Y,harsh_Tc95
1.0,8.0,2.0,a10_hybrid,1.0,1.0,6.101929258057502,0.9004761904761904,0.7021321829603645,1.4804365054766766,1.0,14.375178634395507,0.9225,0.6709843374243007,1.826474470929951,1.0,30.519598915692235,0.933125,0.6402987160408483,2.1321731668398143
1.0,8.0,2.0,a10_hybrid_v2,1.0,0.14285714285714285,7.911001845029868,0.9118452380952381,0.8358334845481299,1.5221425601741387,1.0,14.160942991843116,0.9199999999999999,0.8194497513504814,1.8489022591908497,1.0,32.271633985409224,0.9379166666666667,0.7904416720723471,2.195064565866887
1.0,8.0,2.0,no_control,1.0,0.0,146.58449108885162,0.9645833333333333,1.0000000000000162,3.6654375987163013,1.0,245.52028143853164,0.9674999999999999,1.0000000000000162,4.985286819752036,1.0,340.89712869187196,0.96875,1.0000000000000162,5.706337030528562
1.0,8.0,2.0,pump_radiator,1.0,0.0,28.323032364880383,0.9356547619047618,1.0000000000000162,1.9799316798945303,1.0,72.96902926140416,0.9502083333333333,1.0000000000000162,2.8336182984254745,1.0,98.4698530354738,0.9512499999999999,1.0000000000000162,3.232017364346878
1.0,8.0,4.0,a10_hybrid,1.0,1.0,5.207081592065059,0.8528571428571429,0.6341257068478893,1.4243675773549813,1.0,13.636116377786527,0.905,0.6112079519030188,1.8001117369493052,1.0,24.124727827732592,0.926875,0.5866352353829181,2.0082592011870855
1.0,8.0,4.0,a10_hybrid_v2,1.0,1.0,8.539245493500227,0.8930357142857142,0.7817533986734595,1.5279072197478814,1.0,14.494786669303283,0.9145833333333333,0.7693047716565533,1.8304051385960425,1.0,27.507574285405518,0.9320833333333334,0.7514416282665706,2.103863840763543
1.0,8.0,4.0,no_control,1.0,0.0,149.00040870700948,0.963452380952381,1.0000000000000162,3.658588565494356,1.0,212.8963181355231,0.9672916666666667,1.0000000000000162,4.7337411910170655,1.0,357.41560927469675,0.9710416666666666,1.0000000000000162,5.820772668916253
1.0,8.0,4.0,pump_radiator,1.0,0.0,30.972103271704167,0.936904761904762,1.0000000000000162,2.0141948881625327,1.0,45.50619086019471,0.945,1.0000000000000162,2.51669108595393,1.0,71.56907136127617,0.9481249999999999,1.0000000000000162,2.893722298632669
1.0,12.0,1.0,a10_hybrid,1.0,1.0,7.992473109868,0.9173809523809523,0.7738507878666828,1.4642536570419673,1.0,15.992446943541372,0.9247916666666667,0.7581875434811575,1.8077024411471863,1.0,38.502877363934296,0.9420833333333334,0.7115097589018688,2.218339516102713
1.0,12.0,1.0,a10_hybrid_v2,1.0,0.0,8.539273937306545,0.9194642857142856,0.8721781074277859,1.4737753372464426,1.0,14.361597251631043,0.9304166666666667,0.8696446777046553,1.769225753162783,1.0,33.22938314435192,0.9408333333333334,0.8457179274518404,2.1540332633136776
